nome,hora,dia,source
CarlosBolsonaro,12:44,2018-08-01,Twitter for iPhone
CarlosBolsonaro,18:10,2018-08-01,Twitter for iPhone
CarlosBolsonaro,21:41,2018-08-01,Twitter for iPhone
CarlosBolsonaro,1:42,2018-08-02,Twitter for iPhone
CarlosBolsonaro,1:53,2018-08-02,Twitter for iPhone
CarlosBolsonaro,2:16,2018-08-02,Twitter for iPhone
CarlosBolsonaro,2:40,2018-08-02,Twitter for iPhone
CarlosBolsonaro,2:56,2018-08-02,Twitter for iPhone
CarlosBolsonaro,10:58,2018-08-02,Twitter for iPhone
CarlosBolsonaro,19:30,2018-08-02,Twitter for iPhone
CarlosBolsonaro,20:03,2018-08-02,Twitter for iPhone
CarlosBolsonaro,21:39,2018-08-02,Twitter for iPhone
CarlosBolsonaro,21:46,2018-08-02,Twitter for iPhone
CarlosBolsonaro,2:10,2018-08-03,Twitter for iPhone
CarlosBolsonaro,10:33,2018-08-03,Twitter for iPhone
CarlosBolsonaro,11:52,2018-08-03,Twitter for iPhone
CarlosBolsonaro,13:02,2018-08-03,Twitter for iPhone
CarlosBolsonaro,2:30,2018-08-04,Twitter for iPhone
CarlosBolsonaro,3:38,2018-08-04,Twitter for iPhone
CarlosBolsonaro,3:48,2018-08-04,Twitter for iPhone
CarlosBolsonaro,4:10,2018-08-04,Twitter for iPhone
CarlosBolsonaro,9:14,2018-08-04,Twitter for iPhone
CarlosBolsonaro,18:51,2018-08-04,Twitter for iPhone
CarlosBolsonaro,18:53,2018-08-04,Twitter for iPhone
CarlosBolsonaro,19:32,2018-08-04,Twitter for iPhone
CarlosBolsonaro,3:35,2018-08-05,Twitter for iPhone
CarlosBolsonaro,3:58,2018-08-05,Twitter for iPhone
CarlosBolsonaro,10:10,2018-08-05,Twitter for iPhone
CarlosBolsonaro,8:52,2018-08-06,Twitter for iPhone
CarlosBolsonaro,12:04,2018-08-06,Twitter for iPhone
CarlosBolsonaro,13:36,2018-08-06,Twitter for iPhone
CarlosBolsonaro,18:35,2018-08-06,Twitter for iPhone
CarlosBolsonaro,23:29,2018-08-06,Twitter for iPhone
CarlosBolsonaro,0:43,2018-08-07,Twitter for iPhone
CarlosBolsonaro,13:53,2018-08-07,Twitter for iPhone
CarlosBolsonaro,14:11,2018-08-07,Twitter for iPhone
CarlosBolsonaro,21:17,2018-08-07,Twitter for iPhone
CarlosBolsonaro,21:29,2018-08-07,Twitter for iPhone
CarlosBolsonaro,21:52,2018-08-07,Twitter for iPhone
CarlosBolsonaro,10:07,2018-08-08,Twitter for iPhone
CarlosBolsonaro,12:12,2018-08-08,Twitter for iPhone
CarlosBolsonaro,12:28,2018-08-08,Twitter for iPhone
CarlosBolsonaro,16:27,2018-08-08,Twitter for iPhone
CarlosBolsonaro,23:04,2018-08-08,Twitter for iPhone
CarlosBolsonaro,12:07,2018-08-09,Twitter for iPhone
CarlosBolsonaro,12:59,2018-08-09,Twitter for iPhone
CarlosBolsonaro,13:43,2018-08-09,Twitter for iPhone
CarlosBolsonaro,18:36,2018-08-09,Twitter for iPhone
CarlosBolsonaro,20:35,2018-08-09,Twitter for iPhone
CarlosBolsonaro,0:17,2018-08-10,Twitter for iPhone
CarlosBolsonaro,0:28,2018-08-10,Twitter for iPhone
CarlosBolsonaro,0:30,2018-08-10,Twitter for iPhone
CarlosBolsonaro,2:04,2018-08-10,Twitter for iPhone
CarlosBolsonaro,2:18,2018-08-10,Twitter for iPhone
CarlosBolsonaro,3:16,2018-08-10,Twitter for iPhone
CarlosBolsonaro,3:29,2018-08-10,Twitter for iPhone
CarlosBolsonaro,4:21,2018-08-10,Twitter for iPhone
CarlosBolsonaro,12:40,2018-08-10,Twitter for iPhone
CarlosBolsonaro,12:48,2018-08-10,Twitter for iPhone
CarlosBolsonaro,13:13,2018-08-10,Twitter for iPhone
CarlosBolsonaro,16:58,2018-08-10,Twitter for iPhone
CarlosBolsonaro,18:55,2018-08-10,Twitter for iPhone
CarlosBolsonaro,20:41,2018-08-10,Twitter for iPhone
CarlosBolsonaro,11:29,2018-08-11,Twitter for iPhone
CarlosBolsonaro,14:13,2018-08-11,Twitter for iPhone
CarlosBolsonaro,12:34,2018-08-12,Twitter for iPhone
CarlosBolsonaro,17:34,2018-08-12,Twitter for iPhone
CarlosBolsonaro,20:04,2018-08-12,Twitter for iPhone
CarlosBolsonaro,20:06,2018-08-12,Twitter for iPhone
CarlosBolsonaro,0:06,2018-08-13,Twitter for iPhone
CarlosBolsonaro,9:50,2018-08-13,Twitter for iPhone
CarlosBolsonaro,14:16,2018-08-13,Twitter for iPhone
CarlosBolsonaro,17:06,2018-08-13,Twitter for iPhone
CarlosBolsonaro,17:48,2018-08-13,Twitter for iPhone
CarlosBolsonaro,20:23,2018-08-13,Twitter for iPhone
CarlosBolsonaro,20:24,2018-08-13,Twitter for iPhone
CarlosBolsonaro,0:03,2018-08-14,Twitter for iPhone
CarlosBolsonaro,10:22,2018-08-14,Twitter for iPhone
CarlosBolsonaro,9:23,2018-08-15,Twitter for iPhone
CarlosBolsonaro,15:59,2018-08-15,Twitter for iPhone
CarlosBolsonaro,20:19,2018-08-15,Twitter for iPhone
CarlosBolsonaro,8:55,2018-08-16,Twitter for iPhone
CarlosBolsonaro,15:40,2018-08-16,Twitter for iPhone
CarlosBolsonaro,20:58,2018-08-16,Twitter for iPhone
CarlosBolsonaro,12:13,2018-08-17,Twitter for iPhone
CarlosBolsonaro,13:23,2018-08-17,Twitter for iPhone
CarlosBolsonaro,17:24,2018-08-17,Twitter for iPhone
CarlosBolsonaro,0:32,2018-08-18,Twitter for iPhone
CarlosBolsonaro,1:16,2018-08-18,Twitter for iPhone
CarlosBolsonaro,1:57,2018-08-18,Twitter for iPhone
CarlosBolsonaro,2:34,2018-08-18,Twitter for iPhone
CarlosBolsonaro,2:41,2018-08-18,Twitter for iPhone
CarlosBolsonaro,3:05,2018-08-18,Twitter for iPhone
CarlosBolsonaro,11:33,2018-08-18,Twitter for iPhone
CarlosBolsonaro,16:21,2018-08-18,Twitter for iPhone
CarlosBolsonaro,23:10,2018-08-18,Twitter for iPhone
CarlosBolsonaro,9:45,2018-08-19,Twitter for iPhone
CarlosBolsonaro,9:51,2018-08-19,Twitter for iPhone
CarlosBolsonaro,10:08,2018-08-19,Twitter for iPhone
CarlosBolsonaro,18:34,2018-08-19,Twitter for iPhone
CarlosBolsonaro,18:40,2018-08-19,Twitter for iPhone
CarlosBolsonaro,23:59,2018-08-19,Twitter for iPhone
CarlosBolsonaro,8:33,2018-08-20,Twitter for iPhone
CarlosBolsonaro,9:56,2018-08-20,Twitter for iPhone
CarlosBolsonaro,10:52,2018-08-20,Twitter for iPhone
CarlosBolsonaro,12:08,2018-08-20,Twitter for iPhone
CarlosBolsonaro,14:17,2018-08-20,Twitter for iPhone
